OTUID,Y11_Spring_1,Y11_Spring_2,Y11_Spring_3,Y11_Spring_4,Y11_Summer_1,Y11_Summer_2,Y11_Summer_3,Y11_Summer_4,Y2_Spring_1,Y2_Spring_2,Y2_Spring_3,Y2_Spring_4,Y2_Summer_1,Y2_Summer_2,Y2_Summer_3,Y2_Summer_4,Y5_Spring_1,Y5_Spring_2,Y5_Spring_3,Y5_Spring_4,Y5_Summer_1,Y5_Summer_2,Y5_Summer_3,Y5_Summer_4,Y8_Spring_1,Y8_Spring_2,Y8_Spring_3,Y8_Spring_4,Y8_Summer_1,Y8_Summer_2,Y8_Summer_3,Y8_Summer_4
ASV_6941,1,4,13,5,0,6,2,7,111,104,118,100,39,50,34,28,13,4,8,5,2,2,10,7,18,9,8,3,7,1,2,1
ASV_7571,12,58,22,48,21,20,15,21,6,6,23,13,7,10,16,8,33,17,31,24,26,13,32,15,15,21,23,35,17,16,13,18
ASV_7414,29,47,67,49,26,42,28,40,12,0,1,0,0,0,0,0,11,15,24,11,29,13,5,15,36,19,21,31,12,12,15,17
ASV_7355,29,12,25,18,0,20,24,5,8,1,8,6,7,1,4,3,50,26,30,54,60,17,19,20,19,24,16,31,21,21,25,14
ASV_6026,18,12,41,18,8,15,13,9,25,21,4,5,7,1,0,2,21,33,19,25,37,42,15,10,38,28,22,17,24,28,26,15
ASV_6238,18,44,42,76,6,7,9,9,21,4,31,12,5,4,6,2,28,21,20,61,10,29,12,30,9,8,11,10,8,15,6,22
ASV_7190,40,27,31,30,3,18,16,10,7,7,2,2,2,2,1,3,26,34,20,15,31,50,14,7,20,19,23,35,15,19,22,15
ASV_7540,66,68,46,60,9,12,12,9,17,17,3,3,0,6,3,2,12,18,6,25,4,10,10,12,29,23,15,29,14,7,4,8
ASV_8041,15,28,19,35,12,14,14,15,12,3,26,18,1,10,18,5,20,25,24,24,18,17,27,11,26,21,12,31,14,12,12,18
ASV_7897,15,8,37,39,1,31,13,5,16,34,4,10,0,3,4,35,34,29,31,9,10,12,18,15,13,56,11,12,9,6,10,6
ASV_8018,2,13,1,3,0,1,2,7,32,39,22,25,3,11,3,8,3,136,10,79,3,55,0,44,7,8,4,6,1,1,1,1
ASV_7534,23,18,51,22,6,20,9,3,8,15,6,2,2,0,1,5,20,34,18,17,32,39,10,22,17,40,4,33,23,11,14,5
ASV_3824,4,18,3,5,0,2,1,0,35,20,17,11,5,1,4,2,0,139,3,116,3,54,9,54,4,7,0,9,0,1,1,1
ASV_6319,0,2,20,5,0,9,22,5,53,33,22,43,26,32,38,62,19,3,5,0,10,5,11,2,12,27,8,10,28,5,2,2
ASV_7291,17,30,15,12,22,11,11,11,14,2,16,11,10,2,16,4,26,12,13,27,27,27,23,28,12,4,13,8,14,38,14,25
ASV_5220,8,5,18,15,2,34,24,3,34,45,22,11,17,5,8,19,26,32,22,8,22,33,13,5,22,12,12,12,12,5,3,3
ASV_6244,42,32,22,27,3,3,1,6,2,1,1,0,0,0,0,0,16,30,33,32,8,34,17,29,11,17,14,50,5,14,36,9
ASV_8110,20,23,15,16,33,4,19,17,3,2,1,4,10,2,3,1,34,10,21,27,27,15,24,20,11,9,9,7,17,41,17,27
ASV_5140,28,13,41,9,4,19,20,8,6,1,1,0,6,1,0,1,24,24,37,15,21,41,6,4,6,12,24,42,15,18,15,6
ASV_5196,39,17,30,40,3,3,1,1,3,2,12,1,1,0,3,0,18,34,35,55,5,0,2,7,45,21,36,27,6,6,6,7
ASV_8498,27,30,18,10,4,19,3,9,33,47,17,42,3,12,6,13,12,14,12,13,5,32,8,13,13,11,2,13,2,7,9,6
ASV_6717,20,11,28,18,10,27,19,13,1,0,1,2,1,0,0,0,17,11,9,19,21,36,16,12,11,12,13,36,18,35,10,21
ASV_5423,14,31,18,23,21,11,7,7,3,8,38,2,13,3,18,7,26,12,13,23,5,8,11,17,10,9,52,7,5,8,7,11
ASV_6073,18,38,16,12,28,19,17,13,9,13,4,11,2,2,6,0,14,9,11,29,16,16,9,14,22,4,10,7,12,23,21,21
ASV_4545,23,29,36,17,8,17,8,12,9,0,1,0,0,0,0,0,13,17,14,19,17,23,7,16,25,21,16,62,4,12,8,8
ASV_7347,22,7,17,31,30,7,6,6,4,2,35,4,1,2,5,0,30,31,25,18,9,4,3,24,22,16,14,22,9,11,3,12
