from,to,color,con_crop
Resources,Bacterivores,#f8766d,Y11
Resources,Herbivores,#00bf7d,Y11
Resources,Fungivores,#a3a400,Y11
Bacterivores,Omnivores_carnivores,#00b0f6,Y11
Herbivores,Omnivores_carnivores,#00b0f6,Y11
Fungivores,Omnivores_carnivores,#00b0f6,Y11
Resources,Bacterivores,#f8766d,Y2
Resources,Herbivores,#00bf7d,Y2
Resources,Fungivores,#a3a400,Y2
Bacterivores,Omnivores_carnivores,#00b0f6,Y2
Herbivores,Omnivores_carnivores,#00b0f6,Y2
Fungivores,Omnivores_carnivores,#00b0f6,Y2
Resources,Bacterivores,#f8766d,Y5
Resources,Herbivores,#00bf7d,Y5
Resources,Fungivores,#a3a400,Y5
Bacterivores,Omnivores_carnivores,#00b0f6,Y5
Herbivores,Omnivores_carnivores,#00b0f6,Y5
Fungivores,Omnivores_carnivores,#00b0f6,Y5
Resources,Bacterivores,#f8766d,Y8
Resources,Herbivores,#00bf7d,Y8
Resources,Fungivores,#a3a400,Y8
Bacterivores,Omnivores_carnivores,#00b0f6,Y8
Herbivores,Omnivores_carnivores,#00b0f6,Y8
Fungivores,Omnivores_carnivores,#00b0f6,Y8
