"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_X","Sordariomycetes_X_X","Sordariomycetes_X_X_X","Sordariomycetes_X_X_X_X"
"ASV_2","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_X","Sordariomycetes_X_X","Sordariomycetes_X_X_X","Sordariomycetes_X_X_X_X"
"ASV_3","Fungi","Ascomycota","Sordariomycetes","Incertae_Sedis","Plectosphaerellaceae","Plectosphaerellaceae_X","Plectosphaerella_cucumerina"
"ASV_5","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_X","Sordariomycetes_X_X","Sordariomycetes_X_X_X","Sordariomycetes_X_X_X_X"
"ASV_4","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascales_X","Microascales_X_X","Microascales_X_X_X"
"ASV_6","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascales_X","Microascales_X_X","uncultured_fungus"
"ASV_20","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_X","Hypocreales_X_X","Hypocreales_X_X_X"
"ASV_7","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_X","Sordariomycetes_X_X","Sordariomycetes_X_X_X","Sordariomycetes_X_X_X_X"
"ASV_9","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_X","Hypocreales_X_X","Hypocreales_X_X_X"
"ASV_10","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_X","Hypocreales_X_X","Hypocreales_X_X_X"
"ASV_8","Fungi","Basidiomycota","Agaricomycetes","Agaricomycetes_X","Agaricomycetes_X_X","Agaricomycetes_X_X_X","Agaricomycetes_X_X_X_X"
"ASV_15","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_X","Sordariomycetes_X_X","Sordariomycetes_X_X_X","Sordariomycetes_X_X_X_X"
"ASV_19","Fungi","Ascomycota","Sordariomycetes","Incertae_Sedis","Incertae_Sedis_X","Incertae_Sedis_X_X","Incertae_Sedis_X_X_X"
"ASV_12","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Eurotiales_X","Eurotiales_X_X","Eurotiales_X_X_X"
"ASV_21","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascales_X","Microascales_X_X","Microascales_X_X_X"
"ASV_11","Fungi","Ascomycota","Sordariomycetes","Incertae_Sedis","Plectosphaerellaceae","Plectosphaerellaceae_X","Plectosphaerellaceae_X_X"
"ASV_28","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_X","Sordariales_X_X","Sordariales_X_X_X"
"ASV_14","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_X","Sordariomycetes_X_X","Sordariomycetes_X_X_X","Sordariomycetes_X_X_X_X"
"ASV_18","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellales_X","Tremellales_X_X","Tremellales_X_X_X"
"ASV_16","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Petriella","Petriella_setifera"
"ASV_17","Fungi","Ascomycota","Sordariomycetes","Incertae_Sedis","Plectosphaerellaceae","Plectosphaerellaceae_X","Plectosphaerella_cucumerina"
"ASV_29","Fungi","Ascomycota","Ascomycota_X","Ascomycota_X_X","Ascomycota_X_X_X","Ascomycota_X_X_X_X","Ascomycota_X_X_X_X_X"
"ASV_22","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_X","Hypocreales_X_X","Hypocreales_X_X_X"
"ASV_27","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_X","Capnodiales_X_X","Capnodiales_X_X_X"
"ASV_42","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_X","Sordariomycetes_X_X","Sordariomycetes_X_X_X","Sordariomycetes_X_X_X_X"
"ASV_38","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascales_X","Microascales_X_X","uncultured_fungus"
"ASV_31","Fungi","Basidiomycota","Agaricomycetes","Agaricomycetes_X","Agaricomycetes_X_X","Agaricomycetes_X_X_X","Agaricomycetes_X_X_X_X"
"ASV_26","Fungi","Incertae_Sedis","Incertae_Sedis_X","Zoopagales","Zoopagales_X","Zoopagales_X_X","Zoopagales_X_X_X"
"ASV_34","Fungi","Ascomycota","Sordariomycetes","Incertae_Sedis","Incertae_Sedis_X","Incertae_Sedis_X_X","Arthrinium_sp._F2"
"ASV_285","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_X","Sordariomycetes_X_X","Sordariomycetes_X_X_X","Sordariomycetes_X_X_X_X"
"ASV_149","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_X","Sordariomycetes_X_X","Sordariomycetes_X_X_X","Sordariomycetes_X_X_X_X"
"ASV_35","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_X","Sordariomycetes_X_X","Sordariomycetes_X_X_X","Sordariomycetes_X_X_X_X"
"ASV_71","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_X","Sordariomycetes_X_X","Sordariomycetes_X_X_X","Sordariomycetes_X_X_X_X"
"ASV_39","Fungi","Chytridiomycota","Chytridiomycetes","Chytridiomycetes_X","Chytridiomycetes_X_X","Chytridiomycetes_X_X_X","Chytridiomycetes_X_X_X_X"
